Player Name,PUUID,match_weighted_average(%),match_result
Kleptomancy,tw9a--aDc0_KmSEqTNGdYNO4KYbBNHogLk4Vs0xyeAdcHnY8hMULzKGPm0ymJ9Z0SpTtRI4tBWJL5Q,42.8185,False
Honks,7j-eEHMdonHbV4nhMHFHqjdXEKjOI0VwyLWun6KsnlrK3M5GqX5vBwW5W-XVEv_-JTCAskWYls36lw,37.855000000000004,True
T1 Fekker,orYizK6gFtO1sJmkDiGzyHbhk3ouZj585BFMPbAb5KETaX6ipz_6FualsBjHSvo7Xkaa9IsZX0uLIg,49.589,False
SHAC0PIUM,MAGwBWIqetg3sR-aDwzluKbqj1fuvWhYFZpciW4dyAAgPLt-nP-M_-dStAN7bT6tyKzmvVWJg9bLDw,55.10739999999999,True
trymesolo,o_bfpmjgUnWbtZHK7_Dl_igxHMpOboJfZYstkFtM9oDiuM1pg8j9hJOsGIzZy1pcxQ96UMhyY5MYSQ,56.59766666666667,False
55ms,XE8M6Dg-vU3tXLEdtHDwndk5l5_dIdduCUqzUzvejS7_7VIx_PYCi_kiLfnSOypDqVKtGeS0gcv-Yg,48.3822,False
Let him Cook,70TMAhQjXl9z2u130w3LNFTTTRwlaa7CToAuT1yC_R_Li4WBEKy7QiansmDC7vfomp1M9Tjn6AgqwA,48.916,False
Draven baka,J15ZRNPetBMycuFmcjTMbkN-d-bJtlJUQhZhef-TjzmZezPisi_lOEkeXY4TirVBr72bhdyN5fcMVg,52.66925,False
Dacnomaniak,52nLyKoEdRspUnwgQIfXmbIXV1QSZrBz8gn89Huq31Bryjht_ymIL04fkUDV27egHwgKrV8qtl-tcw,50.37899999999999,True
LeJax James,5tZBhMeHJNtQadpfRPMyPObErKxFIhgxrjAcD1w7ikJR7zBSLWh9kl8vRdLV4GY4OyfpnB1V0gAz9A,49.857749999999996,True
Windy,LWRx4kLT_QlLHtsoGCZeaIpW1_v71fa3N2MW-QC-pGL-5Bi4t80HMa3p3CYw1bQCXFmi9gWrI3K_hg,47.7535,True
Paladin,dcndYKkTV7vi4dgOTTs78NyfZOL8-HpTrcMFt7V_YQ5ifeyuukH5j6snmVz3NqPsfpx3DJlSblMgNA,47.77049999999999,False
Cowboylol,HJEQwqQ97UxHJC1cySUH6m9jdDkTVQz3eKfjM5pPKTFgqw1u3Pgyh58gj12hSlrH2jU3CHXXohGBUg,51.16825,True
QQlove King,JR9dGju6-3KE7PmV49n4X8rq8UrF-NQXqDMcgcrPGIY57Gz7nGekUB48JI-MhSQsj_hs6CMj8_izLA,57.846,True
yuk1judai,XLY6SftHf9G5ieRzRqO0YsyJlz0WCilETnAC9ql08ymdHDGB5BkpP0sTJkmLjBm0OAB5bBs-fGc9vg,51.397,True
cookiepop,861vQ-2k-qSd1GybPxO8n1MX47ZUAp-dUqma38v6K7uuu9ne6QPK8wEj1JEUsdDkWtMBIBTsOVkKIQ,52.268,True
andysilva100,CJrmYW1_eiztfzWWFVcJDJxwLWtsj1bcIxmNnatxRcsHyaDWizyuCM2pr2_cwQaKQi_v1XgyHjfvbg,48.26174999999999,False
Kadota,rWeARj_ucouVOFbtGvh_hFcyV_U8Pkm8xIt0Yt3SXLU86zjCokjgQq60jprAsQfz4XXAXNDwEL-3aQ,49.5935,False
Gyshy,Q2DudGTJwq1d_Y28v24OmBBhe-7_1RnJK_zmcK-yknG_SWZrtp-K3VOMc-6bxInU7O2dBImg0A-etA,46.64,False
JinWOO,at4pSZnpByrGzooOXu4k7q4_UIU-_K8WBqDQDcCYRfJBFgNCHQAirp6LNE15F3f_rjblr1zskVvEgQ,51.064249999999994,True
Vanguard LOL,LfISn6PZyOvgi-5ljQb8RtlSzoF7WdM1yEMGDa2HjbBN0TaGi1e5v1uIzgBR1jKpH3MyE6_GVxl7kg,45.97833333333333,False
Kugi,-04bYnB7AvPDgqgqOIm-YdMVRktOK7gTnLBGzBrhzQpz8gQF0lJ_UEAOwyFLCHmVPdDbwjWwdMPIlg,48.8396,False
Dantes,09GC6-n1-lwpnixOB06iiMDDrZYMEl2Xxa3JloWTH8EFFNzCWRiP27neIIsVSa6vmrCH15wOem0_QA,45.974,True
Daviina,HW7gcdiZENQvUZPVSEEePY3M7XKO62Mb_2bdrTQNF_k2_n6vq9STlaS083LRXIdrkVEiaxiUgdBgZA,59.387,False
男人说话等于放屁,sH4NaAkJ-5XoEIYKsZCY99HTq7JC4cmG7KI2e_xmn2VqsN8II_yPG3v_2wJpB9hjggBMjDyfNCPX1A,50.0045,True
T0mio,eo3lFLlEqDLBTcVH0bOussnZDWHYD4EF8KNmFm1hegdidA7DHTHwEJqSAz_D-e6-wYfbRQN3o1RixQ,45.7855,False
Scyrnn,OPGzhMYKCexmE0muCf2yyoGdnBRHARbLSMAquHcf_qeKpkVVqt_dPLaqWa5oaKQwHBnGpwIEtY35mg,54.63549999999999,False
